Driver,DriverNumber,Team,LapNumber,Stint,Compound,TyreLife,Position,TrackStatus,LapTime_s,Sector1Time_s,Sector2Time_s,Sector3Time_s,year,round,session_type
VER,1,Red Bull Racing,2.0,1.0,SOFT,5.0,1.0,12,97.974,31.342,42.504,24.128,2023,1,R
VER,1,Red Bull Racing,3.0,1.0,SOFT,6.0,1.0,1,98.006,31.388,42.469,24.149,2023,1,R
VER,1,Red Bull Racing,4.0,1.0,SOFT,7.0,1.0,1,97.976,31.271,42.642,24.063,2023,1,R
VER,1,Red Bull Racing,5.0,1.0,SOFT,8.0,1.0,1,98.035,31.244,42.724,24.067,2023,1,R
VER,1,Red Bull Racing,6.0,1.0,SOFT,9.0,1.0,1,97.986,31.341,42.632,24.013,2023,1,R
VER,1,Red Bull Racing,7.0,1.0,SOFT,10.0,1.0,1,98.021,31.29,42.763,23.968,2023,1,R
VER,1,Red Bull Racing,8.0,1.0,SOFT,11.0,1.0,1,98.154,31.291,42.833,24.03,2023,1,R
VER,1,Red Bull Racing,9.0,1.0,SOFT,12.0,1.0,1,98.278,31.336,42.823,24.119,2023,1,R
VER,1,Red Bull Racing,10.0,1.0,SOFT,13.0,1.0,1,98.369,31.361,42.884,24.124,2023,1,R
VER,1,Red Bull Racing,11.0,1.0,SOFT,14.0,1.0,1,98.483,31.342,42.978,24.163,2023,1,R
VER,1,Red Bull Racing,12.0,1.0,SOFT,15.0,1.0,1,98.591,31.408,42.951,24.232,2023,1,R
VER,1,Red Bull Racing,13.0,1.0,SOFT,16.0,1.0,1,98.482,31.389,42.907,24.186,2023,1,R
VER,1,Red Bull Racing,16.0,2.0,SOFT,2.0,2.0,1,97.801,31.209,42.711,23.881,2023,1,R
VER,1,Red Bull Racing,17.0,2.0,SOFT,3.0,2.0,1,97.648,31.17,42.623,23.855,2023,1,R
VER,1,Red Bull Racing,18.0,2.0,SOFT,4.0,1.0,1,97.614,31.211,42.569,23.834,2023,1,R
VER,1,Red Bull Racing,19.0,2.0,SOFT,5.0,1.0,1,97.712,31.243,42.608,23.861,2023,1,R
VER,1,Red Bull Racing,20.0,2.0,SOFT,6.0,1.0,1,97.788,31.186,42.766,23.836,2023,1,R
VER,1,Red Bull Racing,21.0,2.0,SOFT,7.0,1.0,1,97.582,31.168,42.572,23.842,2023,1,R
VER,1,Red Bull Racing,22.0,2.0,SOFT,8.0,1.0,1,97.651,31.224,42.548,23.879,2023,1,R
VER,1,Red Bull Racing,23.0,2.0,SOFT,9.0,1.0,1,97.552,31.153,42.514,23.885,2023,1,R
VER,1,Red Bull Racing,24.0,2.0,SOFT,10.0,1.0,1,97.387,31.145,42.398,23.844,2023,1,R
VER,1,Red Bull Racing,25.0,2.0,SOFT,11.0,1.0,1,97.372,31.145,42.344,23.883,2023,1,R
VER,1,Red Bull Racing,26.0,2.0,SOFT,12.0,1.0,1,97.682,31.213,42.533,23.936,2023,1,R
VER,1,Red Bull Racing,27.0,2.0,SOFT,13.0,1.0,1,97.379,31.079,42.349,23.951,2023,1,R
VER,1,Red Bull Racing,28.0,2.0,SOFT,14.0,1.0,1,97.651,31.112,42.554,23.985,2023,1,R
VER,1,Red Bull Racing,29.0,2.0,SOFT,15.0,1.0,1,97.571,31.045,42.533,23.993,2023,1,R
VER,1,Red Bull Racing,30.0,2.0,SOFT,16.0,1.0,1,97.549,31.185,42.443,23.921,2023,1,R
VER,1,Red Bull Racing,31.0,2.0,SOFT,17.0,1.0,1,97.431,31.04,42.464,23.927,2023,1,R
VER,1,Red Bull Racing,32.0,2.0,SOFT,18.0,1.0,1,97.691,31.139,42.523,24.029,2023,1,R
VER,1,Red Bull Racing,33.0,2.0,SOFT,19.0,1.0,1,97.686,31.112,42.505,24.069,2023,1,R
VER,1,Red Bull Racing,34.0,2.0,SOFT,20.0,1.0,1,97.839,31.129,42.615,24.095,2023,1,R
VER,1,Red Bull Racing,35.0,2.0,SOFT,21.0,1.0,1,97.85,31.211,42.5,24.139,2023,1,R
VER,1,Red Bull Racing,38.0,3.0,HARD,2.0,1.0,1,96.297,31.034,41.772,23.491,2023,1,R
VER,1,Red Bull Racing,39.0,3.0,HARD,3.0,1.0,1,96.446,30.818,42.125,23.503,2023,1,R
VER,1,Red Bull Racing,40.0,3.0,HARD,4.0,1.0,1,96.942,31.175,42.247,23.52,2023,1,R
VER,1,Red Bull Racing,43.0,3.0,HARD,7.0,1.0,1,96.89,31.13,42.295,23.465,2023,1,R
VER,1,Red Bull Racing,44.0,3.0,HARD,8.0,1.0,1,96.236,30.783,42.005,23.448,2023,1,R
VER,1,Red Bull Racing,45.0,3.0,HARD,9.0,1.0,1,97.015,31.079,42.221,23.715,2023,1,R
VER,1,Red Bull Racing,46.0,3.0,HARD,10.0,1.0,1,96.701,31.03,42.003,23.668,2023,1,R
VER,1,Red Bull Racing,47.0,3.0,HARD,11.0,1.0,1,97.009,31.094,42.205,23.71,2023,1,R
VER,1,Red Bull Racing,48.0,3.0,HARD,12.0,1.0,1,96.918,31.01,42.199,23.709,2023,1,R
VER,1,Red Bull Racing,49.0,3.0,HARD,13.0,1.0,1,96.962,31.124,42.026,23.812,2023,1,R
VER,1,Red Bull Racing,50.0,3.0,HARD,14.0,1.0,1,97.25,31.07,42.375,23.805,2023,1,R
VER,1,Red Bull Racing,51.0,3.0,HARD,15.0,1.0,1,97.427,31.154,42.202,24.071,2023,1,R
VER,1,Red Bull Racing,52.0,3.0,HARD,16.0,1.0,1,96.919,31.033,42.133,23.753,2023,1,R
VER,1,Red Bull Racing,53.0,3.0,HARD,17.0,1.0,1,96.89,30.906,42.217,23.767,2023,1,R
VER,1,Red Bull Racing,54.0,3.0,HARD,18.0,1.0,1,96.678,30.988,41.938,23.752,2023,1,R
VER,1,Red Bull Racing,55.0,3.0,HARD,19.0,1.0,1,96.322,30.964,41.747,23.611,2023,1,R
VER,1,Red Bull Racing,56.0,3.0,HARD,20.0,1.0,1,97.205,31.091,42.27,23.844,2023,1,R
VER,1,Red Bull Racing,57.0,3.0,HARD,21.0,1.0,1,96.373,30.96,41.763,23.65,2023,1,R
GAS,10,Alpine,2.0,1.0,SOFT,2.0,18.0,21,100.438,31.738,43.938,24.762,2023,1,R
GAS,10,Alpine,3.0,1.0,SOFT,3.0,18.0,1,100.643,31.8,44.083,24.76,2023,1,R
GAS,10,Alpine,4.0,1.0,SOFT,4.0,18.0,1,100.894,31.514,44.492,24.888,2023,1,R
GAS,10,Alpine,5.0,1.0,SOFT,5.0,18.0,1,100.818,31.705,44.192,24.921,2023,1,R
GAS,10,Alpine,6.0,1.0,SOFT,6.0,18.0,1,101.11,31.573,44.534,25.003,2023,1,R
GAS,10,Alpine,7.0,1.0,SOFT,7.0,18.0,1,101.134,31.604,44.49,25.04,2023,1,R
GAS,10,Alpine,8.0,1.0,SOFT,8.0,18.0,1,101.173,31.773,44.275,25.125,2023,1,R
GAS,10,Alpine,11.0,2.0,HARD,2.0,19.0,1,98.762,31.455,43.098,24.209,2023,1,R
GAS,10,Alpine,12.0,2.0,HARD,3.0,17.0,1,98.928,31.57,43.066,24.292,2023,1,R
GAS,10,Alpine,13.0,2.0,HARD,4.0,14.0,1,99.349,31.744,43.26,24.345,2023,1,R
GAS,10,Alpine,14.0,2.0,HARD,5.0,14.0,1,98.859,31.518,43.043,24.298,2023,1,R
GAS,10,Alpine,15.0,2.0,HARD,6.0,14.0,1,98.985,31.398,43.252,24.335,2023,1,R
GAS,10,Alpine,16.0,2.0,HARD,7.0,12.0,1,98.945,31.514,43.137,24.294,2023,1,R
GAS,10,Alpine,17.0,2.0,HARD,8.0,12.0,1,99.011,31.527,43.151,24.333,2023,1,R
GAS,10,Alpine,18.0,2.0,HARD,9.0,12.0,1,99.029,31.515,43.068,24.446,2023,1,R
GAS,10,Alpine,19.0,2.0,HARD,10.0,12.0,1,99.066,31.571,43.098,24.397,2023,1,R
GAS,10,Alpine,20.0,2.0,HARD,11.0,12.0,1,99.017,31.481,43.179,24.357,2023,1,R
GAS,10,Alpine,21.0,2.0,HARD,12.0,12.0,1,99.327,31.671,43.328,24.328,2023,1,R
GAS,10,Alpine,22.0,2.0,HARD,13.0,12.0,1,99.485,31.609,43.483,24.393,2023,1,R
GAS,10,Alpine,23.0,2.0,HARD,14.0,12.0,1,99.263,31.538,43.32,24.405,2023,1,R
GAS,10,Alpine,24.0,2.0,HARD,15.0,12.0,1,99.761,31.721,43.505,24.535,2023,1,R
GAS,10,Alpine,27.0,3.0,HARD,2.0,15.0,1,98.729,31.836,42.851,24.042,2023,1,R
GAS,10,Alpine,28.0,3.0,HARD,3.0,14.0,1,97.761,31.006,42.656,24.099,2023,1,R
GAS,10,Alpine,29.0,3.0,HARD,4.0,14.0,1,98.012,31.178,42.696,24.138,2023,1,R
GAS,10,Alpine,30.0,3.0,HARD,5.0,13.0,1,97.76,30.885,42.716,24.159,2023,1,R
GAS,10,Alpine,31.0,3.0,HARD,6.0,12.0,1,97.968,30.971,42.877,24.12,2023,1,R
GAS,10,Alpine,32.0,3.0,HARD,7.0,12.0,1,98.012,30.969,42.824,24.219,2023,1,R
GAS,10,Alpine,33.0,3.0,HARD,8.0,11.0,1,97.974,30.942,42.828,24.204,2023,1,R
GAS,10,Alpine,34.0,3.0,HARD,9.0,11.0,1,98.022,30.947,42.874,24.201,2023,1,R
GAS,10,Alpine,35.0,3.0,HARD,10.0,11.0,1,98.088,31.01,42.851,24.227,2023,1,R
GAS,10,Alpine,36.0,3.0,HARD,11.0,11.0,1,98.184,31.045,42.821,24.318,2023,1,R
GAS,10,Alpine,37.0,3.0,HARD,12.0,11.0,1,98.133,31.117,42.864,24.152,2023,1,R
